OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
81,NPU E,E03,2771,"Ardmore, Brookwood",http://documents.atlantaregional.com/AtlantaProfiles/E03.pdf,"Ardmore, Brookwood",2771,68.7,17.5,6.3,2.5,5.1,{2741076F-9E1A-4536-A8F3-98995102BCF6},
82,NPU C,C05,2605,"Collier Hills, Collier Hills North, Colonial Homes",http://documents.atlantaregional.com/AtlantaProfiles/C05.pdf,"Collier Hills, Collier Hills North, Colonial Homes",2605,75.9,13.1,3,2.8,5.3,{E7B37792-93AE-4E47-9E73-2BADECED3753},
83,NPU E,E01,3350,"Ansley Park, Sherwood Forest",http://documents.atlantaregional.com/AtlantaProfiles/E01.pdf,"Ansley Park, Sherwood Forest",3350,86.6,8,1.5,0.8,3.1,{7EC3A720-1863-436A-8B8B-A03C457A8DF4},
84,NPU E,E05,3677,Brookwood Hills,http://documents.atlantaregional.com/AtlantaProfiles/E05.pdf,Brookwood Hills,3677,59.4,28.1,4.1,3.1,5.3,{8C196B0D-16C6-4EA6-8263-F2C52D5F1E67},
85,NPU M,M02,12326,"Old Fourth Ward, Sweet Auburn",http://documents.atlantaregional.com/AtlantaProfiles/M02.pdf,"Old Fourth Ward, Sweet Auburn",12326,32.2,57.2,2.7,3.1,4.8,{ACD7B7AD-B403-43C6-BD43-A438039F55C6},
86,NPU N,N02,6196,"Inman Park, Poncey-Highland",http://documents.atlantaregional.com/AtlantaProfiles/N02.pdf,"Inman Park, Poncey-Highland",6196,80.2,9.9,2.9,2.7,4.4,{D312D3CE-2CA5-48B7-A1BE-76B90A8B4546},
87,NPU F,F02,3914,Lindridge/Martin Manor,http://documents.atlantaregional.com/AtlantaProfiles/F02.pdf,Lindridge/Martin Manor,3914,42.2,18.9,5.7,1.9,31.3,{8C14CFE8-7C4D-4952-A576-FC091C0B4687},
88,NPU B,B08,8300,Pine Hills,http://documents.atlantaregional.com/AtlantaProfiles/B08.pdf,Pine Hills,8300,58.3,17.8,9.3,2.5,12.1,{92B9C526-CCEC-42AF-874F-B75BB68BBACF},
89,NPU B,B04,8332,North Buckhead,http://documents.atlantaregional.com/AtlantaProfiles/B04.pdf,North Buckhead,8332,78.9,8.5,5.3,1.7,5.6,{7279C806-0654-4F87-BD2C-D9FDC1257121},
90,NPU B,B06,3143,"Buckhead Heights, Lenox, Ridgedale Park",http://documents.atlantaregional.com/AtlantaProfiles/B06.pdf,"Buckhead Heights, Lenox, Ridgedale Park",3143,72.8,10.9,6.2,2.4,7.7,{403C4F60-2781-4979-86FF-184A0E0AAA87},
91,NPU B,B05,2335,Brookhaven,http://documents.atlantaregional.com/AtlantaProfiles/B05.pdf,Brookhaven,2335,94.4,1.9,0.9,0.6,2.2,{213EEA27-4618-4979-860F-2D4E12BD21F4},
92,NPU O,O01,4046,"East Lake, The Villages at East Lake",http://documents.atlantaregional.com/AtlantaProfiles/O01.pdf,"East Lake, The Villages at East Lake",4046,27.2,67.7,0.9,1.8,2.4,{1677B9A8-8450-43FE-BE83-1A472C40A376},
93,NPU O,O03,4072,Edgewood,http://documents.atlantaregional.com/AtlantaProfiles/O03.pdf,Edgewood,4072,31.9,61.1,1.7,2.4,2.9,{0F6D494B-5C9A-4878-B505-424E243EEB36},
94,NPU N,N03,4742,"Candler Park, Druid Hills",http://documents.atlantaregional.com/AtlantaProfiles/N03.pdf,"Candler Park, Druid Hills",4742,83.1,6.9,3.3,2.7,4,{CD7F758A-E01B-45B8-9E00-F826480B1097},
95,NPU O,O02,5688,Kirkwood,http://documents.atlantaregional.com/AtlantaProfiles/O02.pdf,Kirkwood,5688,44.6,49.1,1.5,2.4,2.4,{6D9D29D2-2062-447B-94A6-ACDAF204099B},
96,NPU N,N04,2697,Lake Claire,http://documents.atlantaregional.com/AtlantaProfiles/N04.pdf,Lake Claire,2697,86.6,5.7,1.9,2.7,3.1,{39FF7253-AD8E-49B1-9DBD-E85750A75975},
97,NPU Y,Y01,3995,"Chosewood Park, Englewood Manor",http://documents.atlantaregional.com/AtlantaProfiles/Y01.pdf,"Chosewood Park, Englewood Manor",3995,21.9,55,0.5,1.5,21.1,{A50D74B2-A264-4E27-9A79-280830EAD990},
98,NPU Z,Z02,2851,Thomasville Heights,http://documents.atlantaregional.com/AtlantaProfiles/Z02.pdf,Thomasville Heights,2851,0.5,97.8,0.2,1.1,0.5,{657EE020-9125-44B1-A8C3-5D606CE198E7},
99,NPU W,W02,3305,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",http://documents.atlantaregional.com/AtlantaProfiles/W02.pdf,"Benteen Park, Boulevard Heights, Custer/McDonough/Guice, State Facility, Woodland Hills",3305,31.9,46.4,0.9,2.2,18.6,{59434FB5-72AD-4FBE-9E6F-0B14AC039527},
100,NPU W,W01,6827,"Grant Park, Oakland",http://documents.atlantaregional.com/AtlantaProfiles/W01.pdf,"Grant Park, Oakland",6827,62.4,27.9,2.2,2.5,5,{BF079B6D-89B8-4777-A573-504434913200},
101,NPU W,W03,4053,Ormewood Park,http://documents.atlantaregional.com/AtlantaProfiles/W03.pdf,Ormewood Park,4053,62.7,28.3,2.3,2.5,4.1,{FB733201-1649-451E-B6EC-D6F19712F61E},
102,NPU N,N01,3750,"Cabbagetown, Reynoldstown",http://documents.atlantaregional.com/AtlantaProfiles/N01.pdf,"Cabbagetown, Reynoldstown",3750,59.1,31,2.3,2.8,4.8,{1E980AC2-213A-4CF3-8D9A-B4CF25AF2B3C},
